price,year,trans,fuel,km,kw
,2007,Manuál,Benzín,309104,47

,2002,Manuál,Benzín,224668,55

,2004,Manuál,Benzín,157008,47

,2003,Manuál,Benzín,215983,47

,2002,Manuál,Benzín,210000,50

,2007,Manuál,Benzín,218677,47

,2003,Manuál,Benzín,162593,47

,2003,Manuál,Benzín,169806,47

,2004,Manuál,Benzín,171150,40

,2007,Manuál,Benzín+Plyn,330708,44

,2000,Manuál,Benzín,221319,50

,2004,Manuál,Benzín,201166,74

,2004,Manuál,Benzín,191050,47

,2008,Manuál,Diesel,289998,51

,2007,Manuál,Benzín,152051,47

,2006,Manuál,Benzín,141162,40

,2008,Manuál,Diesel,355438,51

,2004,Manuál,Benzín,131805,47

,2004,Manuál,Benzín,160956,55

,2004,Manuál,Benzín,110630,47

,2006,Manuál,Benzín,240400,47

,2000,Manuál,Benzín,184625,44

,2008,Manuál,Benzín,227997,44

,2006,Manuál,Benzín,185083,40

,2006,Manuál,Benzín,103400,40

,2004,Manuál,Benzín,163728,47

,2005,Manuál,Benzín,209611,47

,2000,Manuál,Benzín,237192,50

,2006,Manuál,Benzín,157300,47

,2002,Manuál,Diesel,342494,74

,2006,Manuál,Benzín,221502,47

,2003,Manuál,Benzín,157431,47

,2001,Manuál,Benzín,59801,44

,2002,Manuál,Benzín,190493,44

,2003,Manuál,Benzín,161422,44

,2004,Manuál,Benzín,286292,47

,2004,Manuál,Benzín,130500,40

,2005,Manuál,Benzín,237100,47

,2003,Manuál,Benzín,173235,40

,2005,Manuál,Diesel,264000,51

,2006,Manuál,Benzín,192934,47

,2002,Manuál,Benzín,273000,50

,2001,Manuál,Benzín,214392,55

,2003,Manuál,Benzín,101952,40

,2003,Manuál,Benzín,250160,47

,2003,Manuál,Benzín,143499,40

,2004,Manuál,Benzín,215074,40

,2003,Manuál,Benzín,164366,40

,2003,Manuál,Benzín,186865,47

,2004,Manuál,Benzín,163064,40

,2001,Manuál,Diesel,227671,74

,2006,Manuál,Benzín,179992,40

,2007,Manuál,Benzín,217531,47

,2003,Manuál,Benzín,153045,55

,2006,Manuál,Benzín,82815,47

,2005,Manuál,Benzín,74862,47

,2008,Manuál,Benzín,220725,44

,2007,Manuál,Benzín,104106,51

,2004,Manuál,Diesel,303095,74

,2000,Manuál,Benzín,97099,50

,2001,Manuál,Benzín,104244,44

,2000,Manuál,Diesel,206220,47

,2005,Manuál,Diesel,262385,55

,2004,Manuál,Benzín,102639,47

,2006,Manuál,Benzín,177237,47

,2003,Manuál,Diesel,292837,74

,2003,Manuál,Benzín,170410,55

,2018,Manuál,Benzín,151000,81

,2003,Manuál,Benzín,186000,50

,2003,Manuál,Benzín,126483,47

,2003,Manuál,Benzín,156742,74

,2006,Manuál,Benzín,223674,55

,2004,Manuál,Benzín,203159,47

,2001,Manuál,Benzín,152729,50

,2005,Manuál,Benzín,163004,47

,2005,Manuál,Benzín,250670,40

,2005,Manuál,Benzín,145950,47

,2006,Manuál,Benzín,171327,47

,2008,Manuál,Benzín,253362,44

,2007,Manuál,Benzín,177166,47

,2000,Manuál,Benzín,260164,44

,2000,Manuál,Benzín,260164,44

,2008,Manuál,Diesel,309416,51

,2001,Manuál,Benzín,108777,55

,2003,Manuál,Benzín,199601,50

,2007,Manuál,Diesel,406600,74

,2005,Manuál,Benzín,148000,40

,2005,Manuál,Benzín,192400,55

,2004,Manuál,Benzín,219000,55

,2008,Manuál,Diesel,301805,59

,2005,Manuál,Benzín,204285,55

,2005,Manuál,Benzín,231000,47

,2002,Manuál,Diesel,255000,74

,2005,Manuál,Benzín,136118,40

,2007,Manuál,Benzín,118674,40

,2004,Manuál,Benzín,43038,40

,2005,Manuál,Benzín,218785,55

,2003,Automat,Benzín,209835,55

,2007,Manuál,Benzín,172858,47

,2004,Manuál,Benzín,260417,40

,2005,Manuál,Benzín,108680,40

,2005,Manuál,Benzín,206800,47

,2006,Manuál,Diesel,237757,74

,2005,Manuál,Benzín,213000,74

,2006,Manuál,Benzín,151944,47

,2000,Manuál,Benzín+Plyn,160515,50

,2007,Manuál,Benzín,241107,47

,2005,Manuál,Benzín,218335,74

,2003,Manuál,Benzín,126894,50

,2009,Manuál,Benzín,233937,44

,2005,Manuál,Benzín,189000,47

,2011,Manuál,Diesel,420000,55

,2009,Manuál,Benzín,164942,51

,2008,Manuál,Benzín,166400,51

,2007,Manuál,Benzín,144679,47

,2005,Manuál,Diesel,139625,47

,2006,Manuál,Benzín,178174,55

,2007,Manuál,Benzín,70564,47

,2006,Manuál,Benzín,200965,55

,2003,Manuál,Benzín,176200,55

,2007,Manuál,Benzín,195453,44

,2003,Manuál,Diesel,237632,47

,2006,Manuál,Benzín,91601,47

,2006,Manuál,Diesel,268074,74

,2004,Manuál,Benzín,97712,40

,2007,Manuál,Benzín,189384,44

,2004,Manuál,Benzín,129821,40

,2004,Manuál,Benzín,213000,47

,2009,Manuál,Benzín,192295,44

,2003,Manuál,Benzín,71441,55

,2008,Manuál,Diesel,278000,59

,2001,Manuál,Benzín,164085,55

,2008,Manuál,Diesel,310805,51

,2005,Manuál,Diesel,229926,74

,2006,Manuál,Benzín,180807,47

,2008,Manuál,Benzín,157718,44

,2007,Manuál,Benzín,165442,59

,2003,Automat,Benzín,219975,55

,2004,Manuál,Benzín,134159,47

,2006,Manuál,Benzín,164985,47

,2007,Manuál,Benzín,265066,51

,2006,Manuál,Benzín,184597,55

,2003,Manuál,Benzín,154674,40

,2011,Manuál,Benzín,300000,44

,2006,Manuál,Benzín,118221,40

,2003,Manuál,Benzín,134621,55

,2002,Manuál,Benzín,161700,40

,2006,Manuál,Benzín,197831,47

,2006,Manuál,Benzín,150195,55

,2001,Manuál,Diesel,287557,74

,2006,Manuál,Benzín,169000,47

,2009,Manuál,Benzín,136058,44

,2006,Manuál,Diesel,262142,59

,2008,Manuál,Diesel,299800,59

,2010,Manuál,Benzín,366000,51

,2004,Manuál,Benzín,153200,40

,2004,Manuál,Benzín,153200,40

,2008,Manuál,Benzín,225164,63

,2008,Manuál,Benzín,152000,51

,2002,Manuál,Benzín,142534,50

,2005,Manuál,Diesel,288000,74

,2005,Manuál,Benzín,178862,47

,2007,Manuál,Benzín,196048,44

,2006,Manuál,Diesel,157000,51

,2001,Manuál,Benzín,179671,50

,2013,Manuál,Benzín,310000,63

,2008,Manuál,Diesel,248000,59

,2012,Manuál,Benzín+Plyn,350932,

,2009,Manuál,Benzín,252000,44

,2003,Manuál,Benzín,150000,55

,2005,Manuál,Diesel,261108,74

,2004,Manuál,Benzín,136760,40

,2005,Manuál,Benzín,100500,47

,2003,Manuál,Benzín,112094,40

,2008,Manuál,Benzín,166000,47

,2004,Manuál,Benzín,158976,55

,2006,Manuál,Benzín,183447,47

,2004,Manuál,Diesel,224635,74

,2007,Manuál,Benzín,188897,74

,2009,Manuál,Benzín,178720,63

,2006,Manuál,Benzín,75594,40

,2007,Manuál,Benzín,151645,59

,2008,Manuál,Diesel,196344,59

,2006,Manuál,Benzín,229205,47

,2005,Manuál,Benzín,205681,47

,2014,Manuál,Benzín,323721,63

,2003,Manuál,Benzín,115722,50

,2008,Manuál,Benzín,188158,51

