price,year,trans,fuel,km,kw
,2019,Automat,Diesel,96000.0,140.0
21300.0,2013,Automat,Diesel,207000.0,190.0
7650.0,2009,Manuál,Diesel,386000.0,145.0
16000.0,2015,Automat,Diesel,204000.0,140.0
12999.0,2014,Automat,Diesel,211748.0,135.0
3900.0,2009,Automat,Diesel,414058.0,105.0
11650.0,2016,Manuál,Diesel,206000.0,85.0
9700.0,2013,Automat,Diesel,284000.0,105.0
,2020,Automat,Diesel,95000.0,140.0
5490.0,2007,Manuál,Diesel,248300.0,170.0
12900.0,2012,Manuál,Benzín,202000.0,180.0
18900.0,2018,Automat,Diesel,154620.0,140.0
,2013,Automat,Diesel,249000.0,147.0
,2014,Automat,Diesel,187000.0,105.0
,2019,Automat,Diesel,62000.0,140.0
,2018,Automat,Benzín,143160.0,135.0
19200.0,2015,Automat,Diesel,156000.0,140.0
,2017,Automat,Diesel,94000.0,230.0
2799.0,2002,Automat,Diesel,223059.0,135.0
2900.0,2003,Manuál,Benzín,256000.0,125.0
3300.0,2003,Automat,Benzín,207700.0,105.0
4250.0,2002,Manuál,Benzín,189427.0,85.0
5999.0,2007,Automat,Diesel,288900.0,110.0
5999.0,2009,Automat,Diesel,198806.0,130.0
6000.0,2007,Manuál,Benzín,195435.0,125.0
6950.0,2011,Manuál,Diesel,216978.0,85.0
6999.0,2009,Automat,Diesel,183344.0,130.0
7000.0,2010,Automat,Benzín,232000.0,105.0
7700.0,2011,Automat,Diesel,295000.0,135.0
7750.0,2008,Manuál,Benzín,235451.0,125.0
7990.0,2007,Manuál,Diesel,216000.0,170.0
9499.0,2011,Automat,Diesel,244900.0,135.0
10990.0,2010,Automat,Benzín,89500.0,160.0
11500.0,2014,Automat,Diesel,180000.0,85.0
12490.0,2013,Automat,Diesel,210000.0,135.0
13999.0,2008,Manuál,Diesel,115000.0,145.0
15999.0,2011,Automat,Diesel,172000.0,135.0
,2014,Automat,Benzín,201635.0,135.0
16999.0,2007,Manuál,Benzín,199990.0,225.0
19950.0,2018,Automat,Diesel,157400.0,110.0
19999.0,2019,Automat,Diesel,79200.0,110.0
19999.0,2014,Automat,Diesel,249656.0,190.0
19999.0,2019,Automat,Diesel,79200.0,110.0
20199.0,2014,Automat,Benzín,138134.0,135.0
21490.0,2018,Automat,Diesel,160000.0,110.0
21999.0,2016,Automat,Diesel,67150.0,140.0
22990.0,2017,Automat,Benzín,109800.0,135.0
23000.0,2016,Automat,Diesel,151000.0,140.0
23499.0,2020,Automat,Diesel,124000.0,110.0
,2019,Automat,Diesel,154400.0,140.0
26599.0,2015,Automat,Benzín,38000.0,135.0
,2014,Manuál,Benzín,64000.0,225.0
,2019,Automat,Diesel,71000.0,140.0
,2020,Automat,Benzín,105300.0,135.0
,2019,Automat,Diesel,59800.0,140.0
,2020,Automat,Diesel,74200.0,140.0
,2020,Automat,Diesel,81900.0,140.0
,2018,Automat,Benzín,106000.0,265.0
,2020,Automat,Diesel,68200.0,140.0
,2020,Automat,Diesel,49600.0,140.0
,2020,Automat,Diesel,73900.0,140.0
,2020,Automat,Diesel,56300.0,140.0
,2020,Automat,Benzín,24400.0,135.0
