price,year,km,kw,Automat,Manuál,Benzín,Benzín+Plyn,Diesel,Elektro,Hybrid
14990.0,0.9230769230769232,0.4142525872902869,0.3723404255319149,1,0,0,0,1,0,0
14990.0,0.8974358974358975,0.3805451336509121,0.3723404255319149,0,1,0,0,1,0,0
13000.0,0.8205128205128205,0.5602579392785118,0.4521276595744681,0,1,0,0,1,0,0
2950.0,0.4358974358974359,0.4984514028939193,0.2393617021276596,0,1,0,0,1,0,0
15390.0,0.8974358974358975,0.373725812469812,0.2765957446808511,0,1,1,0,0,0,0
9990.0,0.8461538461538461,0.5144753197343692,0.2180851063829787,1,0,0,0,1,0,0
12290.0,0.9230769230769232,0.3633926752386991,0.2393617021276596,0,1,0,0,1,0,0
15490.0,0.9487179487179488,0.3337781877865706,0.2978723404255319,0,1,1,0,0,0,0
7000.0,0.7435897435897436,0.6093712443944905,0.3351063829787234,1,0,0,0,1,0,0
17000.0,0.9230769230769232,0.217460575441745,0.3723404255319149,1,0,0,0,1,0,0
12990.0,0.8717948717948718,0.495761673995701,0.2765957446808511,1,0,1,0,0,0,0
10990.0,0.7948717948717948,0.6156549089269241,0.2180851063829787,1,0,0,0,1,0,0
5300.0,0.717948717948718,0.4526687833497769,0.101063829787234,0,1,1,0,0,0,0
9000.0,0.8205128205128205,0.5694144631873402,0.2180851063829787,1,0,0,0,1,0,0
356.0,0.7948717948717948,0.7944108578060511,0.3723404255319149,0,1,0,0,1,0,0
2800.0,0.5897435897435898,0.3899900880628686,0.0797872340425532,0,1,1,0,0,0,0
3300.0,0.5641025641025641,0.6838710120476963,0.1968085106382978,0,1,0,0,1,0,0
3990.0,0.5641025641025641,0.3533250772009422,0.0797872340425532,0,1,1,0,0,0,0
4099.0,0.5897435897435898,0.5851018777741406,0.1968085106382978,1,0,0,0,1,0,0
4500.0,0.6153846153846154,0.6024924058079831,0.1968085106382978,0,1,0,0,1,0,0
4700.0,0.717948717948718,0.5190535816887835,0.1382978723404255,0,1,0,0,1,0,0
4999.0,0.6410256410256411,0.5076079268027479,0.1968085106382978,0,1,0,0,1,0,0
4999.0,0.6410256410256411,0.4567434364892056,0.1861702127659574,0,1,1,0,0,0,0
6200.0,0.6923076923076923,0.2947187459224854,0.101063829787234,0,1,1,0,0,0,0
6300.0,0.6923076923076923,0.3645372407273027,0.1968085106382978,0,1,0,0,1,0,0
6800.0,0.7692307692307693,0.5451290726501499,0.1968085106382978,0,1,0,0,1,0,0
6900.0,0.7435897435897436,0.4503796523725698,0.1968085106382978,1,0,0,0,1,0,0
6990.0,0.6923076923076923,0.326400318647032,0.1861702127659574,1,0,1,0,0,0,0
7000.0,0.7435897435897436,0.5991731658910328,0.3351063829787234,0,1,0,0,1,0,0
7500.0,0.7435897435897436,0.2556913518920812,0.1968085106382978,0,1,0,0,1,0,0
7500.0,0.6923076923076923,0.2242982096706627,0.4148936170212766,1,0,1,0,0,0,0
7750.0,0.5897435897435898,0.5893207461651333,0.5691489361702128,1,0,1,0,0,0,0
7900.0,0.7435897435897436,0.2992970078768996,0.4148936170212766,1,0,1,0,0,0,0
8200.0,0.8205128205128205,0.5121861887571622,0.2180851063829787,0,1,0,0,1,0,0
8800.0,0.7948717948717948,0.4016211625580581,0.1223404255319148,0,1,1,0,0,0,0
9499.0,0.7948717948717948,0.5336239003587068,0.3723404255319149,1,0,0,0,1,0,0
9800.0,0.7948717948717948,0.2915711908288256,0.1223404255319148,0,1,1,0,0,0,0
9999.0,0.7948717948717948,0.2610410509858142,0.3351063829787234,0,1,1,0,0,0,0
10400.0,0.8461538461538461,0.5144753197343692,0.2180851063829787,0,1,0,0,1,0,0
10900.0,0.8461538461538461,0.6701362261844536,0.5053191489361702,1,0,0,0,1,0,0
11490.0,0.8205128205128205,0.2164235991090702,0.1968085106382978,1,0,0,0,1,0,0
11500.0,0.8717948717948718,0.6060405588226542,0.5053191489361702,1,0,0,0,1,0,0
11500.0,0.8717948717948718,0.1917078519481649,0.1223404255319148,0,1,1,0,0,0,0
11999.0,0.9230769230769232,0.4017585104166905,0.2393617021276596,0,1,0,0,1,0,0
12850.0,0.8461538461538461,0.4274883426004985,0.3723404255319149,0,1,0,0,1,0,0
13200.0,0.8717948717948718,0.4801383550762624,0.3723404255319149,0,1,0,0,1,0,0
13490.0,0.8461538461538461,0.5556796773240974,0.5053191489361702,1,0,0,0,1,0,0
13490.0,0.6153846153846154,0.4084885554896794,0.7659574468085106,1,0,1,0,0,0,0
13795.0,0.8717948717948718,0.4343557355321199,0.5053191489361702,0,1,0,0,1,0,0
13990.0,0.9230769230769232,0.3954405089195988,0.2393617021276596,0,1,0,0,1,0,0
13999.0,0.9487179487179488,0.3427607377411313,0.2393617021276596,0,1,0,0,1,0,0
14390.0,0.8461538461538461,0.5190535816887835,0.3723404255319149,0,1,0,0,1,0,0
14490.0,0.7435897435897436,0.5437807745045748,0.8457446808510638,1,0,1,0,0,0,0
14499.0,0.8974358974358975,0.3595446460660139,0.3723404255319149,1,0,0,0,1,0,0
14499.0,0.8974358974358975,0.2830441779387291,0.2393617021276596,1,0,0,0,1,0,0
15390.0,0.9230769230769232,0.2811625122754648,0.2393617021276596,1,0,0,0,1,0,0
16550.0,0.8974358974358975,0.3121161413492596,0.3723404255319149,1,0,0,0,1,0,0
16999.0,0.8974358974358975,0.3686576764862755,0.3723404255319149,1,0,0,0,1,0,0
17390.0,0.8974358974358975,0.3037425002346359,0.3723404255319149,0,1,0,0,1,0,0
17490.0,0.9487179487179488,0.397729639896806,0.3723404255319149,1,0,1,0,0,0,0
17499.0,0.9487179487179488,0.2232818355167827,0.2978723404255319,0,1,1,0,0,0,0
17500.0,0.9487179487179488,0.3633926752386991,0.3723404255319149,1,0,0,0,1,0,0
17790.0,0.9230769230769232,0.2867067875022605,0.5053191489361702,1,0,0,0,1,0,0
17999.0,0.9487179487179488,0.2718274361504142,0.3723404255319149,1,0,0,0,1,0,0
19500.0,0.9487179487179488,0.3405013654666279,0.3723404255319149,1,0,0,0,1,0,0
19999.0,0.8974358974358975,0.2168882926974432,0.3723404255319149,0,1,0,0,1,0,0
23999.0,0.8974358974358975,0.0891318928595137,0.3723404255319149,1,0,0,0,0,0,1
24900.0,0.8974358974358975,0.10299487005748,0.6861702127659575,0,1,1,0,0,0,0
450.0,0.3333333333333333,0.6838710120476963,0.0797872340425532,0,1,1,0,0,0,0
