price,year,km,kw,Automat,Manuál,Benzín,Benzín+Plyn,Diesel,Hybrid
3700.0,0.4666666666666667,0.0381343247056675,0.1439688715953307,0,1,0,0,1,0
7990.0,0.5666666666666667,0.0310279282382072,0.2412451361867704,1,0,0,0,1,0
36500.0,0.8,0.0138824956343204,0.4357976653696498,1,0,0,0,1,0
11990.0,0.6666666666666666,0.0219367452644125,0.2996108949416342,1,0,0,0,1,0
2200.0,0.2,0.0371334237947576,0.2295719844357976,0,1,1,0,0,0
12290.0,0.7666666666666667,0.0183164866696513,0.2217898832684824,0,1,0,0,1,0
60900.0,1.0,0.0,0.6303501945525292,1,0,1,0,0,0
12350.0,0.6666666666666666,0.0222200002222,0.2023346303501945,1,0,0,0,1,0
11700.0,0.7,0.0201181083092891,0.1439688715953307,0,1,0,0,1,0
13900.0,0.6666666666666666,0.021619459675654,0.5719844357976653,1,0,0,0,1,0
32990.0,0.8666666666666667,0.0061324197910539,0.2217898832684824,1,0,0,0,1,0
2890.0,0.3,0.0309278381471162,0.2295719844357976,1,0,0,0,1,0
5500.0,0.4666666666666667,0.0258232435014756,0.3385214007782101,1,0,0,0,1,0
6200.0,0.6,0.0264037660298034,0.1439688715953307,0,1,0,0,1,0
10490.0,0.6,0.0338874020505857,0.377431906614786,1,0,0,0,1,0
11000.0,0.6,0.0261235137747486,0.2607003891050584,1,0,0,0,1,0
11500.0,0.6333333333333333,0.0235211714063828,0.5525291828793775,1,0,1,0,0,0
11500.0,0.6666666666666666,0.0260234236836576,0.2023346303501945,1,0,0,0,1,0
13000.0,0.6333333333333333,0.0421379283493072,0.4163424124513619,1,0,0,0,1,0
15500.0,0.8,0.0287889129005017,0.2217898832684824,1,0,0,0,1,0
16000.0,0.6666666666666666,0.022119910131109,0.2607003891050584,1,0,0,0,1,0
17990.0,0.6,0.0061054955565504,0.377431906614786,1,0,0,0,1,0
18990.0,0.6333333333333333,0.0184165767607423,0.5719844357976653,1,0,0,0,1,0
19000.0,0.7666666666666667,0.0201181083092891,0.1439688715953307,1,0,0,0,1,0
20499.0,0.7333333333333333,0.0160144145745585,0.4163424124513619,1,0,0,0,1,0
21500.0,0.8,0.0170153154854684,0.4163424124513619,1,0,0,0,1,0
26499.0,0.8666666666666667,0.0164347929571407,0.4357976653696498,1,0,0,0,1,0
30500.0,0.9,0.0138124325705567,0.2217898832684824,1,0,0,0,1,0
31500.0,0.9,0.0012010810930918,0.2023346303501945,1,0,1,0,0,0
38500.0,0.8666666666666667,0.0037033333703666,0.2217898832684824,1,0,0,0,1,0
48900.0,0.9333333333333332,0.0022520270495472,0.3968871595330739,1,0,1,0,0,0
49550.0,0.9666666666666668,0.0012461216340828,0.2217898832684824,1,0,0,0,1,0
1000.0,0.8,0.0168151353032864,0.5719844357976653,1,0,0,0,1,0
1234.0,0.2666666666666666,0.0185166668518333,0.22568093385214,0,1,1,0,0,0
1350.0,0.2333333333333333,0.0353931573809586,0.0856031128404669,0,1,0,0,1,0
1900.0,0.2333333333333333,0.0261235137747486,0.2023346303501945,1,0,0,0,1,0
2500.0,0.3333333333333333,0.0471424329038567,0.2295719844357976,1,0,0,0,1,0
2500.0,0.3,0.0241817660075834,0.1439688715953307,1,0,0,0,1,0
2790.0,0.5,0.0391352256165774,0.3501945525291828,1,0,0,0,1,0
2796.0,0.1666666666666666,0.0130117118418288,0.1050583657587548,0,1,1,0,0,0
2999.0,0.4666666666666667,0.0346140561119063,0.1828793774319066,1,0,0,0,1,0
3050.0,0.3666666666666666,0.0309278381471162,0.1634241245136186,0,1,1,0,0,0
3290.0,0.4333333333333333,0.0317285588758441,0.2996108949416342,1,0,0,0,1,0
3300.0,0.0666666666666666,0.0297768020995698,0.0856031128404669,1,0,0,0,1,0
3196.0,0.5333333333333333,0.0311280183292982,0.2996108949416342,1,0,1,0,0,0
3490.0,0.3333333333333333,0.0391352256165774,0.2295719844357976,0,1,0,0,1,0
3500.0,0.4,0.0243218921351108,0.3385214007782101,0,1,1,0,0,0
3392.0,0.4666666666666667,0.0382344147967585,0.1828793774319066,0,1,0,0,1,0
3592.0,0.3333333333333333,0.0260234236836576,0.0661478599221789,0,1,0,0,1,0
3800.0,0.3333333333333333,0.0305274777827522,0.1439688715953307,0,1,0,0,1,0
3999.0,0.4,0.0329829879874875,0.2996108949416342,1,0,0,0,1,0
3800.0,0.4666666666666667,0.0389350454343955,0.3385214007782101,1,0,0,0,1,0
3996.0,0.3666666666666666,0.0295666129082787,0.1634241245136186,0,1,1,0,0,0
4290.0,0.4333333333333333,0.0249224326816567,0.2996108949416342,1,0,0,0,1,0
4490.0,0.4333333333333333,0.0358322526105747,0.3385214007782101,1,0,0,0,1,0
4500.0,0.4333333333333333,0.0333300003333,0.3385214007782101,1,0,0,0,1,0
4500.0,0.0,1.0,0.0856031128404669,0,1,0,0,1,0
4600.0,0.3,0.0306275678738432,0.3385214007782101,1,0,0,1,0,0
4700.0,0.5333333333333333,0.0372935679405032,0.1828793774319066,0,1,0,0,1,0
4700.0,0.4666666666666667,0.0196176578538342,0.1828793774319066,0,1,0,0,1,0
4800.0,0.4333333333333333,0.0341307210620279,0.1634241245136186,0,1,1,0,0,0
4800.0,0.4666666666666667,0.0306275678738432,0.3385214007782101,0,1,0,0,1,0
4900.0,0.4,0.0301271174183882,0.22568093385214,1,0,1,0,0,0
4900.0,0.4333333333333333,0.0311280183292982,0.2996108949416342,1,0,0,0,1,0
4900.0,0.5333333333333333,0.0311280183292982,0.1828793774319066,1,0,0,0,1,0
