price,year,km,kw,Automat,Manuál,Benzín,Benzín+Plyn,Diesel
4650.0,0.391304347826087,0.4127534628396349,0.4210526315789473,0,1,0,0,1
14490.0,0.8260869565217391,0.0969807868252516,0.4631578947368421,0,1,1,0,0
13990.0,0.8695652173913043,0.1031724079235728,0.4631578947368421,0,1,1,0,0
11999.0,0.8260869565217391,0.0638098682950701,0.4631578947368421,0,1,1,0,0
1190.0,0.217391304347826,0.4404136258218259,0.1052631578947368,0,1,1,0,0
2500.0,0.1739130434782608,0.1357241643439222,0.1052631578947368,0,1,1,0,0
2890.0,0.217391304347826,0.3406285240111492,0.031578947368421,0,1,1,0,0
3290.0,0.391304347826087,0.2172854741590246,0.1473684210526315,0,1,1,0,0
3450.0,0.391304347826087,0.4002425583523054,0.231578947368421,0,1,0,0,1
3500.0,0.3478260869565217,0.3382837932721972,0.1473684210526315,0,1,1,0,0
4000.0,0.391304347826087,0.4790804059660843,0.231578947368421,0,1,0,0,1
4190.0,0.391304347826087,0.329600629800634,0.0736842105263157,0,1,1,0,0
4499.0,0.5217391304347826,0.4465520542990276,0.1894736842105263,0,1,0,0,1
4700.0,0.4782608695652174,0.5664631162365157,0.4210526315789473,0,1,1,0,0
5400.0,0.5217391304347826,0.2276431413434328,0.1473684210526315,0,1,1,0,0
5500.0,0.4782608695652174,0.3529904891593438,0.4210526315789473,0,1,1,0,0
5750.0,0.6086956521739131,0.4436051830890019,0.2736842105263158,0,1,1,0,0
6499.0,0.4782608695652174,0.3124023915402455,0.3052631578947368,0,1,0,0,1
6500.0,0.6521739130434783,0.4735419902551118,0.3052631578947368,0,1,0,0,1
6900.0,0.6521739130434783,0.3659439562543884,0.3052631578947368,0,1,0,0,1
6990.0,0.5652173913043478,0.3530032553884125,0.3052631578947368,0,1,0,0,1
7699.0,0.5217391304347826,0.3951679822974956,1.0,1,0,1,0,0
7990.0,0.7391304347826086,0.392180684695419,0.3052631578947368,0,1,0,0,1
8500.0,0.6956521739130435,0.3872210047022277,0.3052631578947368,0,1,0,0,1
9900.0,0.782608695652174,0.0701929828294219,0.3052631578947368,0,1,1,0,0
10700.0,0.6956521739130435,0.1531734717759952,0.4631578947368421,0,1,1,0,0
12990.0,0.8260869565217391,0.0872146215876933,0.3473684210526316,0,1,1,0,0
13300.0,0.782608695652174,0.127641013638588,0.4631578947368421,1,0,1,0,0
13500.0,0.9130434782608696,0.0535096491414711,0.3473684210526316,0,1,1,0,0
100.0,0.391304347826087,0.2765803527734632,0.1473684210526315,0,1,1,0,0
490.0,0.6956521739130435,0.2233877316538649,0.4631578947368421,0,1,1,0,0
500.0,0.1304347826086956,0.2590799804251154,0.1894736842105263,0,1,1,0,0
590.0,0.2608695652173913,0.9534990106172472,0.231578947368421,0,1,0,0,1
640.0,0.0869565217391304,0.0004680950658524,0.0,0,1,1,0,0
690.0,0.217391304347826,0.8259579991063639,0.1052631578947368,0,1,1,0,0
680.0,0.0,0.4999893614757761,0.0736842105263157,0,1,1,0,0
750.0,0.3043478260869565,0.7276537798676568,0.1473684210526315,0,1,0,0,1
770.0,0.217391304347826,0.4452392604097959,0.1052631578947368,0,1,1,0,0
800.0,0.1739130434782608,0.289935956084172,0.031578947368421,0,1,1,0,0
846.0,0.1304347826086956,0.6312687503989447,0.1894736842105263,0,1,1,0,0
854.0,0.1739130434782608,0.2738590182769846,0.031578947368421,0,1,1,0,0
854.0,0.0,0.4415306708653375,0.1894736842105263,0,1,1,0,0
854.0,0.0434782608695652,0.6974042000893637,0.1052631578947368,0,1,0,0,1
893.0,0.2608695652173913,0.3168195067980169,0.031578947368421,0,1,1,0,0
900.0,0.0869565217391304,0.2830953850081916,0.031578947368421,0,1,1,0,0
950.0,0.1739130434782608,0.4679737866763123,0.031578947368421,0,1,1,0,0
982.0,0.217391304347826,0.5220345113725824,0.1052631578947368,0,1,1,0,0
990.0,0.0434782608695652,0.9095767995063724,0.1368421052631579,0,1,1,0,0
990.0,0.2608695652173913,0.6146088214642865,0.231578947368421,0,1,1,0,0
999.0,0.2608695652173913,0.4255622460052342,0.1052631578947368,0,1,1,0,0
999.0,0.391304347826087,1.0,0.231578947368421,0,1,0,0,1
1000.0,0.1739130434782608,0.6136236941211515,0.1052631578947368,0,1,1,0,0
956.0,0.217391304347826,0.5526415455647993,0.031578947368421,0,1,1,0,0
996.0,0.1304347826086956,0.5468009957658674,0.1052631578947368,0,1,1,0,0
999.0,0.1739130434782608,0.4825953743696674,0.1052631578947368,0,1,1,0,0
1068.0,0.0869565217391304,0.4232770910019362,0.0,0,1,1,0,0
1068.0,0.217391304347826,0.6198748909551267,0.031578947368421,0,1,1,0,0
1068.0,0.0869565217391304,0.3578374007957616,0.0736842105263157,0,1,1,0,0
1095.0,0.217391304347826,0.6429817655694802,0.1894736842105263,0,1,0,0,1
1095.0,0.0869565217391304,0.4838507202280899,0.031578947368421,0,1,1,0,0
1095.0,0.1304347826086956,0.5268218472733462,0.3894736842105263,0,1,1,0,0
1100.0,0.1304347826086956,0.3191344496691419,0.1052631578947368,0,1,1,0,0
1100.0,0.0869565217391304,0.4448137194408391,0.031578947368421,0,1,1,0,0
1080.0,0.0434782608695652,0.3661077895274368,0.0736842105263157,0,1,1,0,0
1176.0,0.2608695652173913,0.481112364092853,0.231578947368421,0,1,1,0,0
1188.0,0.0434782608695652,0.5101065980127236,0.0736842105263157,0,1,1,0,0
1196.0,0.0869565217391304,0.4248664865209898,0.0210526315789473,0,1,1,0,0
1196.0,0.1739130434782608,0.5467329092108343,0.1052631578947368,0,1,1,0,0
1200.0,0.3478260869565217,0.3877401646843549,0.1052631578947368,0,1,1,0,0
1200.0,0.0434782608695652,0.5453201131938977,0.1894736842105263,0,1,1,0,0
1200.0,0.0434782608695652,0.4681865571607906,0.1368421052631579,0,1,1,0,0
1200.0,0.0434782608695652,0.7702078767633354,0.3894736842105263,0,1,0,0,1
1200.0,0.0,0.5053937317815272,0.3894736842105263,0,1,1,0,0
1200.0,0.2608695652173913,0.338079533607098,0.031578947368421,0,1,1,0,0
1200.0,0.0434782608695652,0.2616864188599757,0.3894736842105263,0,1,0,0,1
1160.0,0.0434782608695652,0.5887040149790421,0.0736842105263157,0,1,1,0,0
1160.0,0.1739130434782608,0.3787931658120385,0.1894736842105263,0,1,1,0,0
1160.0,0.1739130434782608,0.6297793570075959,0.1052631578947368,0,1,1,0,0
1160.0,0.0,0.346794612651333,0.1368421052631579,0,1,1,0,0
1238.0,0.0869565217391304,0.508340602991553,0.1368421052631579,0,1,1,0,0
1250.0,0.0869565217391304,0.4103278793165812,0.0736842105263157,0,1,1,0,0
1258.0,0.0869565217391304,0.25942892401966,0.3894736842105263,0,1,1,0,0
1196.0,0.0434782608695652,0.4244558394859465,0.1894736842105263,0,1,1,0,0
1199.0,0.0434782608695652,0.4510521500457456,0.1894736842105263,0,1,1,0,0
1281.0,0.1304347826086956,0.2905210749164876,0.031578947368421,0,1,1,0,0
1281.0,0.0434782608695652,0.2220855762888572,0.0736842105263157,0,1,1,0,0
1298.0,0.1739130434782608,0.3610183195387136,0.1052631578947368,0,1,1,0,0
1298.0,0.2608695652173913,0.6246452052171323,0.1052631578947368,0,1,1,0,0
1299.0,0.0869565217391304,0.4765846081831528,0.0736842105263157,0,1,1,0,0
1300.0,0.217391304347826,0.374435626289921,0.031578947368421,0,1,1,0,0
1300.0,0.0,0.5201919189769995,0.1368421052631579,0,1,1,0,0
1300.0,0.0869565217391304,0.5724100512776867,0.1368421052631579,0,1,1,0,0
1300.0,0.217391304347826,0.5185791187046533,0.1052631578947368,0,1,1,0,0
1324.0,0.1304347826086956,0.525740973212196,0.1894736842105263,0,1,1,0,0
1379.0,0.2608695652173913,0.4207217174833507,0.031578947368421,0,1,1,0,0
1390.0,0.2608695652173913,0.5233941147683994,0.031578947368421,0,1,1,0,0
1390.0,0.0869565217391304,0.450201068107832,0.1368421052631579,0,1,1,0,0
1399.0,0.217391304347826,0.4259537436966744,0.1052631578947368,0,1,1,0,0
1400.0,0.0434782608695652,0.5082703887316752,0.1052631578947368,0,1,0,0,1
1399.0,0.2608695652173913,0.5183982637928467,0.1052631578947368,0,1,1,0,0
1400.0,0.0434782608695652,0.4659460839592331,0.1894736842105263,0,1,1,0,0
1400.0,0.1739130434782608,0.350073405817145,0.031578947368421,0,1,1,0,0
1495.0,0.0434782608695652,0.5049937232707079,0.1368421052631579,0,1,1,0,0
1499.0,0.1739130434782608,0.25317559948084,0.031578947368421,0,1,1,0,0
1500.0,0.217391304347826,0.3106236302900061,0.031578947368421,0,1,1,0,0
1500.0,0.1739130434782608,0.5238749760633205,0.1052631578947368,0,1,1,0,0
1500.0,0.217391304347826,0.2473776037788038,0.031578947368421,0,1,1,0,0
1500.0,0.0,0.4708802314942871,0.1368421052631579,0,1,1,0,0
1500.0,0.1304347826086956,0.2637928466563118,0.031578947368421,0,1,1,0,0
1500.0,0.217391304347826,0.9744675418625928,0.1052631578947368,0,1,0,0,1
1500.0,0.0,0.3336326304814996,0.1368421052631579,0,1,1,0,0
1501.0,0.217391304347826,0.310802357496968,0.1052631578947368,0,1,1,0,0
1501.0,0.1739130434782608,0.4006510776825039,0.1052631578947368,0,1,1,0,0
1501.0,0.391304347826087,0.4766782271963233,0.1473684210526315,0,1,1,0,0
1436.0,0.1304347826086956,0.4428200600012766,0.031578947368421,0,1,1,0,0
1436.0,0.0434782608695652,0.3947892508351242,0.1368421052631579,0,1,1,0,0
1557.0,0.3043478260869565,0.6029702759633183,0.231578947368421,0,1,0,0,1
1480.0,0.0434782608695652,0.3760697036107151,0.1368421052631579,0,1,1,0,0
1582.0,0.1304347826086956,0.7591778548479755,0.1052631578947368,0,1,0,0,1
1590.0,0.2608695652173913,0.5123151556416093,0.231578947368421,0,1,1,0,0
1590.0,0.2608695652173913,0.5810953424540948,0.231578947368421,0,1,1,0,0
1598.0,0.1304347826086956,0.3893167939743399,0.031578947368421,0,1,1,0,0
1600.0,0.1304347826086956,0.3120981297474414,0.1052631578947368,0,1,1,0,0
